playerID,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,height,weight,year,tmID,age,players_prizes
boltoru01w,32,1,737,349,31,63,94,37,45,2,35,74,316,125,77,56,132,43,0,69.0,150.0,4,SAC,37.0,0.0
boltoru01w,33,0,521,149,15,42,57,35,33,2,21,52,175,55,26,20,98,19,0,69.0,150.0,5,SAC,38.0,0.0
bondla01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.0,132.0,7,CHA,23.0,0.0
bondla01w,34,5,614,193,7,42,49,73,35,8,80,83,158,63,77,57,46,10,1,67.0,132.0,9,IND,25.0,0.0
bonfisu01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0,145.0,3,PHO,29.0,0.0
bonnede01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0,136.0,10,PHO,23.0,0.0
bowenli01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.0,145.0,8,NYL,25.0,0.0
boydca01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,172.0,2,DET,27.0,0.0
braxtka01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,210.0,6,DET,23.0,0.0
braxtka01w,33,2,455,227,42,58,100,14,18,13,52,78,210,97,60,33,1,0,0,78.0,210.0,7,DET,24.0,0.0
braxtka01w,34,1,359,146,42,75,117,26,11,11,53,83,143,58,48,30,2,0,1,78.0,210.0,8,DET,25.0,0.0
braxtka01w,31,20,545,207,54,112,166,16,14,16,62,91,188,84,58,39,0,0,2,78.0,210.0,9,DET,26.0,0.0
braxtka01w,33,10,590,295,48,120,168,27,14,24,54,84,258,107,109,81,2,0,1,78.0,210.0,10,DET,27.0,0.0
brazian01w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,169.0,1,CHA,25.0,0.0
brazian01w,22,3,203,51,16,18,34,5,5,0,17,24,49,19,19,13,0,0,0,74.0,169.0,2,IND,26.0,0.0
